Date,Open,High,Low,Close,Volume
6/2/2017 23:58:00,#N/A,#N/A,#N/A,14301.15232,#N/A
6/3/2017 23:58:00,#N/A,#N/A,#N/A,14487.90475,#N/A
6/4/2017 23:58:00,#N/A,#N/A,#N/A,15811.4275,#N/A
6/5/2017 23:58:00,#N/A,#N/A,#N/A,15957.312,#N/A
6/6/2017 23:58:00,#N/A,#N/A,#N/A,17021.18451,#N/A
6/7/2017 23:58:00,#N/A,#N/A,#N/A,16470.47094,#N/A
6/8/2017 23:58:00,#N/A,#N/A,#N/A,16616.04229,#N/A
6/9/2017 23:58:00,#N/A,#N/A,#N/A,17946.81244,#N/A
6/10/2017 23:58:00,#N/A,#N/A,#N/A,21901.0554,#N/A
6/11/2017 23:58:00,#N/A,#N/A,#N/A,22081.95477,#N/A
6/12/2017 23:58:00,#N/A,#N/A,#N/A,25618.08626,#N/A
6/13/2017 23:58:00,#N/A,#N/A,#N/A,24970.71,#N/A
6/14/2017 23:58:00,#N/A,#N/A,#N/A,21925.45386,#N/A
6/15/2017 23:58:00,#N/A,#N/A,#N/A,22189.9176,#N/A
6/16/2017 23:58:00,#N/A,#N/A,#N/A,22800.1736,#N/A
6/17/2017 23:58:00,#N/A,#N/A,#N/A,23760.4671,#N/A
6/18/2017 23:58:00,#N/A,#N/A,#N/A,22657.38075,#N/A
6/19/2017 23:58:00,#N/A,#N/A,#N/A,23132.34699,#N/A
6/20/2017 23:58:00,#N/A,#N/A,#N/A,22646.33367,#N/A
6/21/2017 23:58:00,#N/A,#N/A,#N/A,21002.48205,#N/A
6/22/2017 23:58:00,#N/A,#N/A,#N/A,20670.41182,#N/A
6/23/2017 23:58:00,#N/A,#N/A,#N/A,21090.20102,#N/A
6/24/2017 23:58:00,#N/A,#N/A,#N/A,19639.641,#N/A
6/25/2017 23:58:00,#N/A,#N/A,#N/A,17962.04802,#N/A
6/26/2017 23:58:00,#N/A,#N/A,#N/A,16297.94468,#N/A
